x,sN,sC,lCN,PNG,NF,aet,p2,Shrubs,BSC,sd_cwd
sN,0.026,0.026,0.008,0.03,0.051,-0.004,-0.011,0,0.029,0.003
sC,0.026,0.042,0.03,0.031,0.08,-0.004,-0.028,-0.004,0.052,0.013
lCN,0.008,0.03,0.076,-0.006,0.046,-0.002,-0.028,-0.003,0.013,-0.003
PNG,0.03,0.031,-0.006,0.182,0.112,0.006,0.005,-0.042,0.084,0.007
NF,0.051,0.08,0.046,0.112,0.587,0.01,-0.078,0.015,0.404,0.012
aet,-0.004,-0.004,-0.002,0.006,0.01,0.056,-0.022,0.018,0.02,-0.013
p2,-0.011,-0.028,-0.028,0.005,-0.078,-0.022,0.075,0.014,-0.129,-0.009
Shrubs,0,-0.004,-0.003,-0.042,0.015,0.018,0.014,0.069,-0.045,-0.018
BSC,0.029,0.052,0.013,0.084,0.404,0.02,-0.129,-0.045,0.873,0.009
sd_cwd,0.003,0.013,-0.003,0.007,0.012,-0.013,-0.009,-0.018,0.009,0.024
